Čas merania,Vodný stav [cm],Teplota vody [°C]
5.4.2025 14:00,149,4.6
5.4.2025 13:45,149,4.7
5.4.2025 13:30,149,4.7
5.4.2025 13:15,149,4.8
5.4.2025 13:00,149,4.8
5.4.2025 12:45,149,4.9
5.4.2025 12:30,149,4.9
5.4.2025 12:15,149,4.9
5.4.2025 12:00,149,5
5.4.2025 11:45,149,5
5.4.2025 11:30,149,5
5.4.2025 11:15,149,5
5.4.2025 11:00,149,4.9
5.4.2025 10:45,149,4.9
5.4.2025 10:30,149,4.9
5.4.2025 10:15,149,4.8
5.4.2025 10:00,149,4.7
5.4.2025 09:45,149,4.7
5.4.2025 09:30,149,4.6
5.4.2025 09:15,149,4.6
5.4.2025 09:00,148,4.5
5.4.2025 08:45,148,4.4
5.4.2025 08:30,148,4.3
5.4.2025 08:15,148,4.3
5.4.2025 08:00,148,4.2
5.4.2025 07:45,148,4.2
5.4.2025 07:30,148,4.1
5.4.2025 07:15,148,4.1
5.4.2025 07:00,148,4.1
5.4.2025 06:45,148,4.1
5.4.2025 06:30,148,4.1
5.4.2025 06:15,148,4.1
5.4.2025 06:00,148,4.1
5.4.2025 05:45,148,4.2
5.4.2025 05:30,148,4.1
5.4.2025 05:15,148,4.2
5.4.2025 05:00,148,4.2
5.4.2025 04:45,148,4.2
5.4.2025 04:30,148,4.2
5.4.2025 04:15,148,4.3
5.4.2025 04:00,148,4.3
5.4.2025 03:45,148,4.4
5.4.2025 03:30,148,4.4
5.4.2025 03:15,148,4.4
5.4.2025 03:00,148,4.5
5.4.2025 02:45,148,4.5
5.4.2025 02:30,148,4.5
5.4.2025 02:15,148,4.5
5.4.2025 02:00,148,4.5
5.4.2025 01:45,148,4.5
5.4.2025 01:30,148,4.5
5.4.2025 01:15,148,4.5
5.4.2025 01:00,148,4.5
5.4.2025 00:45,148,4.6
5.4.2025 00:30,148,4.6
5.4.2025 00:15,148,4.6
5.4.2025 00:00,148,4.6
4.4.2025 23:45,148,4.7
4.4.2025 23:30,148,4.7
4.4.2025 23:15,148,4.8
4.4.2025 23:00,148,4.9
4.4.2025 22:45,148,5
4.4.2025 22:30,148,5.1
4.4.2025 22:15,148,5.1
4.4.2025 22:00,148,5.2
4.4.2025 21:45,148,5.3
4.4.2025 21:30,148,5.4
4.4.2025 21:15,148,5.5
4.4.2025 21:00,148,5.6
4.4.2025 20:45,148,5.8
4.4.2025 20:30,148,5.9
4.4.2025 20:15,148,6
4.4.2025 20:00,148,6.1
4.4.2025 19:45,148,6.3
4.4.2025 19:30,148,6.4
4.4.2025 19:15,148,6.5
4.4.2025 19:00,148,6.6
4.4.2025 18:45,148,6.7
4.4.2025 18:30,148,6.8
4.4.2025 18:15,148,6.8
4.4.2025 18:00,148,6.9
4.4.2025 17:45,148,7
4.4.2025 17:30,147,7.1
4.4.2025 17:15,147,7.2
4.4.2025 17:00,148,7.2
4.4.2025 16:45,147,7.2
4.4.2025 16:30,148,7.2
4.4.2025 16:15,148,7.2
4.4.2025 16:00,148,7.1
4.4.2025 15:45,148,7.2
4.4.2025 15:30,148,7.2
4.4.2025 15:15,147,7.3
4.4.2025 15:00,148,7.3
4.4.2025 14:45,148,7.3
4.4.2025 14:30,148,7.2
4.4.2025 14:15,148,6.8
4.4.2025 14:00,147,6.6
